"source","type","metric","value","value2","full"
"manuscript.md","hr_or","HR","1.33",NA,"HR = 1.33"
"manuscript.md","hr_or","HR","1.62",NA,"HR = 1.62"
"manuscript.md","hr_or","OR","1.99",NA,"OR = 1.99"
"manuscript.md","hr_or","OR","1.67",NA,"OR = 1.67"
"manuscript.md","hr_or","HR","1.08",NA,"HR = 1.08"
"manuscript.md","hr_or","HR","1.51",NA,"HR = 1.51"
"manuscript.md","hr_or","HR","1.05",NA,"HR = 1.05"
"manuscript.md","hr_or","HR","1.03",NA,"HR = 1.03"
"manuscript.md","hr_or","HR","1.14",NA,"HR = 1.14"
"manuscript.md","hr_or","OR","1.88",NA,"OR = 1.88"
"manuscript.md","hr_or","OR","1.71",NA,"OR = 1.71"
"manuscript.md","hr_or","HR","1.48",NA,"HR = 1.48"
"manuscript.md","hr_or","HR","1.33",NA,"HR = 1.33"
"manuscript.md","hr_or","HR","1.30",NA,"HR = 1.30"
"manuscript.md","hr_or","HR","1.76",NA,"HR = 1.76"
"manuscript.md","hr_or","HR","1.62",NA,"HR = 1.62"
"manuscript.md","hr_or","HR","2.13",NA,"HR = 2.13"
"manuscript.md","hr_or","HR","1.09",NA,"HR = 1.09"
"manuscript.md","hr_or","HR","0.71",NA,"HR = 0.71"
"manuscript.md","hr_or","HR","0.59",NA,"HR = 0.59"
"manuscript.md","hr_or","HR","1.117",NA,"HR = 1.117"
"manuscript.md","hr_or","HR","1.08",NA,"HR = 1.08"
"manuscript.md","hr_or","HR","1.116",NA,"HR = 1.116"
"manuscript.md","hr_or","HR","1.001",NA,"HR = 1.001"
"manuscript.md","hr_or","HR","1.10",NA,"HR = 1.10"
"manuscript.md","hr_or","HR","1.54",NA,"HR = 1.54"
"manuscript.md","hr_or","HR","1.62",NA,"HR = 1.62"
"manuscript.md","hr_or","HR","1.11",NA,"HR = 1.11"
"manuscript.md","hr_or","HR","5.11",NA,"HR = 5.11"
"manuscript.md","hr_or","HR","1.08",NA,"HR = 1.08"
"manuscript.md","hr_or","HR","1.21",NA,"HR = 1.21"
"manuscript.md","hr_or","HR","1.08",NA,"HR = 1.08"
"manuscript.md","hr_or","HR","1.51",NA,"HR = 1.51"
"manuscript.md","hr_or","HR","1.62",NA,"HR = 1.62"
"manuscript.md","hr_or","HR","1.33",NA,"HR = 1.33"
"manuscript.md","hr_or","HR","1.54",NA,"HR = 1.54"
"manuscript.md","hr_or","HR","0.71",NA,"HR = 0.71"
"manuscript.md","hr_or","HR","0.59",NA,"HR = 0.59"
"manuscript.md","hr_or","HR","2.13",NA,"HR = 2.13"
"manuscript.md","hr_or","HR","0.03",NA,"HR = 0.03"
"manuscript.md","ci","95% CI","1.03","1.13","95% CI 1.03–1.13"
"manuscript.md","ci","95% CI","1.03","1.13","95% CI 1.03–1.13"
"manuscript.md","ci","95% CI","1.15","1.98","95% CI 1.15–1.98"
"manuscript.md","ci","95% CI","0.001","0.91","95% CI 0.001-0.91"
"结果说明.md","hr_or","HR","1.43",NA,"HR = 1.43"
"结果说明.md","ci","95% CI","1.04","1.14","95% CI 1.04-1.14"
"结果说明.md","pval","p","0.001",NA,"p < 0.001"
"结果说明.md","pval","p","0.001",NA,"p < 0.001"
"结果说明.md","pval","p","0.003",NA,"p = 0.003"
"结果说明.md","pval","p","0.001",NA,"p<0.001"
"结果说明.md","pval","p","0.001",NA,"p=0.001"
"结果说明.md","pval","p","0.037",NA,"p=0.037"
"结果说明.md","pval","p","0.003",NA,"p=0.003"
"结果说明.md","pval","p","0.001",NA,"p < 0.001"
"结果说明.md","pval","p","0.001",NA,"p < 0.001"
"结果说明.md","pval","p","0.035",NA,"p = 0.035"
"结果说明.md","pval","p","0.001",NA,"p<0.001"
"结果说明.md","pval","p","0.002",NA,"p = 0.002"
"结果说明.md","pval","p","0.016",NA,"p = 0.016"
"结果说明.md","pval","p","0.016",NA,"p = 0.016"
"结果说明.md","pval","p","0.030",NA,"p = 0.030"
"结果说明.md","pval","p","0.046",NA,"p = 0.046"
"结果说明.md","pval","p","0.046",NA,"p = 0.046"
"结果说明.md","pval","p","0.37",NA,"p=0.37"
"结果说明.md","pval","p","0.30",NA,"p=0.30"
"结果说明.md","pval","p","0.001",NA,"p<0.001"
"结果说明.md","pval","p","0.90",NA,"p = 0.90"
"结果说明.md","pval","p","0.022",NA,"p = 0.022"
"结果说明.md","pval","p","0.63",NA,"p=0.63"
"结果说明.md","pval","p","0.001",NA,"p<0.001"
"结果说明.md","pval","P","0.001",NA,"P < 0.001"
"方法学段.md","pval","P","0.001",NA,"P < 0.001"
"方法学段.md","pval","P","0.05",NA,"P < 0.05"
"cover_letter.md","hr_or","HR","1.33",NA,"HR = 1.33"
"cover_letter.md","hr_or","HR","1.62",NA,"HR = 1.62"
"cover_letter.md","hr_or","OR","1.88",NA,"OR = 1.88"
"cover_letter.md","hr_or","OR","1.99",NA,"OR = 1.99"
"cover_letter.md","hr_or","OR","1.67",NA,"OR = 1.67"
"cover_letter.md","hr_or","HR","1.117",NA,"HR = 1.117"
"cover_letter.md","hr_or","HR","1.08",NA,"HR = 1.08"
"cover_letter.md","ci","95% CI","1.03","1.13","95% CI 1.03-1.13"
