"outcome","exposure","variable","chisq","df","p"
"all_cause","DII_cont","DII",2.44829347172312e-06,1,0.998751548655068
"all_cause","DII_cont","age",2.97813531057219e-05,1,0.995645782501517
"all_cause","DII_cont","race",0.000252144152579633,4,0.999999992053584
"all_cause","DII_cont","education",0.000638608791277022,2,0.999680746576585
"all_cause","DII_cont","pir",0.000484126919797836,1,0.982445654715862
"all_cause","DII_cont","bmi",1.11991071300014e-07,1,0.999732987401689
"all_cause","DII_cont","smoke_status",5.95264790373842e-07,1,0.999384404954412
"all_cause","DII_cont","alcohol_any",3.9282433108325e-05,1,0.99499923544161
"all_cause","DII_cont","parity",1.55562541949129e-05,1,0.996853038346075
"all_cause","DII_cont","GLOBAL",0.001358490792788,13,1
"all_cause","DII_Q","DII_Q",0.000270606502769538,3,0.99999881616577
"all_cause","DII_Q","age",3.14479030672472e-05,1,0.995525612105822
"all_cause","DII_Q","race",0.000250248994254122,4,0.999999992172583
"all_cause","DII_Q","education",0.000632317868616026,2,0.999683891038661
"all_cause","DII_Q","pir",0.000474290468795557,1,0.982624875269999
"all_cause","DII_Q","bmi",6.949710528986e-08,1,0.999789659251868
"all_cause","DII_Q","smoke_status",6.22516233637138e-07,1,0.999370471556864
"all_cause","DII_Q","alcohol_any",3.85361954940164e-05,1,0.995046961652559
"all_cause","DII_Q","parity",1.57276049022075e-05,1,0.996835754155882
"all_cause","DII_Q","GLOBAL",0.00164880797900187,15,1
"all_cause","sleep_score","sleep_score",0.000102442925292799,1,0.991924421703649
"all_cause","sleep_score","age",3.468983378441e-05,1,0.995300640605015
"all_cause","sleep_score","race",0.000253093738456412,4,0.99999999199362
"all_cause","sleep_score","education",0.000686291205592828,2,0.999656913264922
"all_cause","sleep_score","pir",0.000508266720938868,1,0.982013398589931
"all_cause","sleep_score","bmi",1.05403217731657e-07,1,0.999740959906343
"all_cause","sleep_score","smoke_status",6.89485012221904e-07,1,0.999337474762254
"all_cause","sleep_score","alcohol_any",5.46508396300904e-05,1,0.994101595868997
"all_cause","sleep_score","parity",1.59819431472229e-05,1,0.996810271672032
"all_cause","sleep_score","GLOBAL",0.00147772170693381,13,1
"all_cause","sleep_disorder","sleep_disorder",4.77442159328278e-05,1,0.994486885802259
"all_cause","sleep_disorder","age",3.32736664809623e-05,1,0.995397561620073
"all_cause","sleep_disorder","race",0.000254492407386864,4,0.999999991904889
"all_cause","sleep_disorder","education",0.00067427727761479,2,0.999662918186037
"all_cause","sleep_disorder","pir",0.000508381893561615,1,0.982011361179603
"all_cause","sleep_disorder","bmi",1.93114998598356e-07,1,0.999649370824753
